gp,min,pts,fg,3p_made,3p,ftm,ft,oreb,dreb,ast,stl,blk,tov,target_5yrs,points_per_minute,efficiency_rating
64,22.0,11.0,45.0,1.0,40.6,2.0,78.9,0.9,2.2,1.3,0.6,0.3,1.3,0,0.5,15.0
71,21.1,6.4,49.0,0.0,0.0,1.4,80.3,0.5,1.7,3.4,1.1,0.1,1.6,0,0.3033175355450237,11.600000000000001
36,20.3,5.7,41.7,0.0,14.3,1.6,69.5,1.2,1.3,4.3,1.2,0.1,2.3,0,0.28078817733990147,11.5
65,18.5,7.4,50.1,0.0,0.0,1.5,57.1,1.8,2.7,1.0,1.0,0.3,1.2,0,0.4,13.000000000000002
80,19.5,7.1,47.5,0.1,30.0,1.1,85.0,0.6,1.5,2.6,0.8,0.2,1.0,1,0.3641025641025641,11.799999999999999
32,19.3,6.8,46.7,0.1,20.0,0.6,69.2,0.3,1.2,3.7,0.8,0.1,1.7,0,0.35233160621761656,11.200000000000001
81,19.0,9.3,43.7,0.1,20.8,2.4,78.3,1.4,1.8,1.0,0.6,0.1,1.7,0,0.48947368421052634,12.5
80,18.2,11.5,43.4,0.1,22.5,3.4,78.6,1.3,1.0,1.5,0.5,0.1,1.6,1,0.6318681318681318,14.3
71,16.8,5.6,46.4,0.0,0.0,0.5,59.6,1.1,1.2,1.1,0.5,0.4,0.4,1,0.3333333333333333,9.5
81,16.8,8.9,46.7,0.2,32.2,2.1,74.5,0.6,1.3,3.9,1.2,0.0,1.8,1,0.5297619047619048,14.2
82,16.7,5.2,42.0,0.7,35.9,0.7,88.4,0.2,0.9,3.7,0.8,0.0,0.8,1,0.31137724550898205,10.0
24,14.7,5.1,44.3,0.0,0.0,1.5,57.8,0.8,1.3,0.9,0.7,0.1,1.4,0,0.3469387755102041,7.499999999999998
65,14.5,5.5,48.8,0.0,0.0,1.8,68.9,1.5,2.1,0.3,0.2,0.2,0.7,0,0.3793103448275862,9.1
56,14.3,5.0,48.6,0.0,0.0,0.7,58.0,1.2,2.0,0.6,0.4,0.1,0.7,1,0.34965034965034963,8.6
36,7.0,1.6,43.1,0.0,0.0,0.3,69.2,0.7,1.2,0.2,0.1,0.1,0.3,1,0.2285714285714286,3.6000000000000005
51,13.4,4.8,44.5,0.0,0.0,1.1,72.5,0.6,1.6,0.8,0.4,0.3,0.9,0,0.3582089552238806,7.6
75,10.4,4.3,54.5,0.0,0.0,1.1,69.9,0.6,2.0,0.2,0.1,0.3,0.9,1,0.41346153846153844,6.699999999999999
54,10.2,4.8,42.6,0.0,0.0,0.8,38.4,1.6,2.1,1.1,0.4,0.1,0.9,1,0.47058823529411764,9.2
62,9.9,4.1,53.7,0.0,25.0,0.6,61.5,1.0,1.1,0.3,0.3,0.5,0.6,1,0.4141414141414141,6.699999999999999
82,9.5,1.7,30.1,0.0,7.1,0.7,78.1,0.3,0.8,2.6,0.3,0.1,1.1,1,0.17894736842105263,4.699999999999999
53,9.4,2.2,36.6,0.2,29.4,0.3,60.9,0.1,0.4,2.2,0.5,0.1,1.0,0,0.23404255319148937,4.5
47,9.4,2.9,40.2,0.0,16.7,0.7,83.3,0.3,0.6,2.3,0.5,0.2,1.3,0,0.30851063829787234,5.5
36,8.8,4.1,40.8,0.3,38.5,0.9,65.4,0.4,0.7,0.8,0.6,0.1,1.1,1,0.46590909090909083,5.599999999999998
62,8.5,2.6,51.3,0.0,0.0,0.6,65.0,0.9,1.5,0.1,0.3,0.8,0.5,1,0.3058823529411765,5.699999999999999
37,8.3,3.5,49.0,0.0,0.0,0.8,67.4,0.5,0.7,0.5,0.5,0.2,0.5,0,0.4216867469879518,5.5
60,8.1,3.1,49.4,0.0,0.0,0.4,50.0,0.8,1.7,0.4,0.3,0.3,0.5,1,0.3827160493827161,6.2
51,8.0,2.2,40.4,0.1,25.0,0.3,81.3,0.3,0.7,1.5,0.5,0.1,0.7,1,0.275,4.499999999999999
42,7.9,4.0,43.0,0.0,10.0,0.5,69.0,0.5,0.8,0.5,0.3,0.1,0.5,1,0.5063291139240506,5.699999999999999
33,7.8,3.8,48.0,0.0,10.0,0.8,82.4,0.5,0.6,0.4,0.4,0.1,0.4,1,0.48717948717948717,5.4
33,7.8,3.8,48.0,0.0,10.0,0.8,82.4,0.5,0.6,0.4,0.4,0.1,0.4,0,0.48717948717948717,5.4
57,10.0,3.3,36.9,0.1,30.8,1.3,63.8,1.0,1.2,0.8,0.7,0.4,1.2,1,0.32999999999999996,6.2
57,10.0,3.3,36.9,0.1,30.8,1.3,63.8,1.0,1.2,0.8,0.7,0.4,1.2,0,0.32999999999999996,6.2
24,17.4,5.3,41.8,0.4,24.4,0.6,60.0,0.3,1.6,0.8,1.0,0.4,1.1,0,0.3045977011494253,8.2
77,22.6,6.0,46.0,0.9,40.1,0.7,71.2,0.9,2.3,0.9,0.7,0.2,0.8,0,0.2654867256637168,10.199999999999998
72,7.3,2.5,41.5,0.0,0.0,0.8,73.8,0.7,0.6,0.6,0.3,0.0,0.5,0,0.3424657534246575,4.199999999999999
49,7.3,2.6,36.4,0.0,22.2,0.6,66.0,0.2,0.4,1.4,0.3,0.1,0.9,1,0.35616438356164387,4.099999999999999
46,6.8,3.3,50.4,0.0,40.0,0.5,70.6,0.6,0.6,0.4,0.3,0.1,0.7,0,0.4852941176470588,4.5
43,6.8,1.6,34.9,0.0,11.1,0.2,56.3,0.3,0.3,1.7,0.5,0.1,0.4,1,0.23529411764705885,4.1
35,6.0,1.9,31.9,0.1,20.0,0.5,77.3,0.3,0.3,1.1,0.3,0.1,0.8,0,0.31666666666666665,3.3
51,5.7,2.2,47.4,0.0,0.0,0.7,78.3,0.4,1.0,0.2,0.2,0.0,0.5,1,0.3859649122807018,3.5
41,5.6,2.4,42.2,0.0,0.0,0.7,68.2,0.5,0.5,0.2,0.2,0.1,0.3,1,0.4285714285714286,3.6000000000000005
82,39.6,13.6,43.2,0.4,25.4,2.5,77.4,1.5,3.4,10.6,2.5,0.1,3.1,1,0.3434343434343434,28.5
61,35.6,13.8,47.7,0.2,30.8,2.7,81.9,0.7,1.6,7.1,1.5,0.1,3.0,1,0.38764044943820225,21.800000000000004
58,22.6,7.2,43.7,0.3,29.0,1.0,65.6,0.6,2.0,3.2,0.6,0.3,1.0,0,0.3185840707964602,12.9
55,32.9,14.8,47.5,0.0,0.0,2.4,67.9,2.4,5.5,1.3,1.1,0.5,2.2,1,0.4498480243161095,23.400000000000006
67,31.7,12.4,43.9,0.2,33.3,2.1,87.9,1.0,2.4,6.4,1.7,0.1,2.5,1,0.3911671924290221,21.500000000000004
42,27.1,7.6,40.7,0.1,20.0,1.1,83.3,1.2,3.2,2.3,0.9,0.4,1.8,1,0.28044280442804426,13.899999999999999
35,24.5,10.4,35.6,0.4,22.4,1.4,72.7,1.6,1.8,1.7,0.8,0.6,1.8,1,0.4244897959183674,15.100000000000001
35,24.5,10.4,35.6,0.4,22.4,1.4,72.7,1.6,1.8,1.7,0.8,0.6,1.8,1,0.4244897959183674,15.100000000000001
82,24.2,11.7,50.1,0.0,20.0,2.4,60.4,2.0,4.3,1.0,0.7,1.5,1.7,1,0.4834710743801653,19.5
80,24.0,9.2,46.1,0.1,20.8,2.2,83.9,0.5,1.9,5.5,1.3,0.3,1.8,1,0.3833333333333333,16.900000000000002
81,22.6,7.7,50.1,0.0,0.0,1.4,62.6,1.9,3.6,1.1,0.6,0.7,1.1,1,0.3407079646017699,14.499999999999998
82,22.4,10.0,48.8,0.7,35.5,1.8,80.1,1.2,1.2,1.6,0.7,0.2,1.2,1,0.44642857142857145,13.6
61,22.4,9.6,40.4,0.2,26.7,2.1,74.0,1.0,1.3,1.9,0.9,0.4,1.9,1,0.4285714285714286,13.2
66,21.7,8.6,48.2,0.0,0.0,1.3,51.2,1.5,2.5,1.2,0.7,0.5,1.6,1,0.39631336405529954,13.399999999999999
59,22.2,8.0,42.3,0.8,33.8,1.9,81.5,0.7,3.0,1.6,0.5,0.8,0.8,0,0.3603603603603604,13.799999999999999
79,20.9,7.9,46.3,0.1,17.4,1.3,57.6,1.5,2.3,2.1,1.1,0.7,1.7,1,0.3779904306220096,13.899999999999999
82,20.8,8.5,49.1,0.1,36.7,2.1,77.2,1.4,2.6,1.3,0.8,0.8,1.3,1,0.40865384615384615,14.100000000000001
79,20.6,5.0,39.0,0.0,18.8,0.7,78.4,0.4,1.3,5.1,1.6,0.0,1.3,1,0.24271844660194172,12.1
78,20.5,8.1,42.8,0.0,0.0,1.9,72.5,1.2,3.0,1.4,0.7,0.3,1.4,1,0.39512195121951216,13.3
24,17.5,5.2,39.1,0.4,38.5,1.2,72.5,0.1,1.0,2.9,1.0,0.1,1.0,0,0.29714285714285715,9.3
39,16.5,5.7,45.9,0.0,0.0,1.4,87.1,1.5,3.0,0.8,0.3,0.1,0.9,1,0.34545454545454546,10.5
75,15.0,5.6,43.0,0.0,0.0,1.4,70.7,0.7,2.2,0.9,0.5,0.9,1.6,0,0.3733333333333333,9.200000000000001
79,14.6,3.6,53.2,0.0,0.0,0.9,64.0,1.3,2.1,0.5,0.4,0.3,0.7,1,0.24657534246575344,7.500000000000001
58,13.1,2.7,37.4,0.1,24.0,0.4,71.9,0.3,0.7,3.1,0.3,0.1,1.0,0,0.20610687022900764,6.2
49,11.9,5.3,44.6,0.0,0.0,0.8,72.2,0.2,0.4,1.2,0.4,0.0,1.0,0,0.4453781512605042,6.5
70,10.3,4.2,49.6,0.0,23.1,0.7,80.6,0.7,1.3,0.7,0.3,0.6,0.8,1,0.4077669902912621,7.0
40,9.5,3.8,42.2,0.1,20.0,0.7,89.7,0.1,0.6,1.5,0.1,0.1,0.6,0,0.39999999999999997,5.6
55,9.3,3.1,47.4,0.0,0.0,0.7,56.3,1.3,1.3,0.4,0.2,0.3,0.6,1,0.3333333333333333,6.000000000000001
59,8.7,2.5,47.0,0.0,0.0,0.4,73.5,0.3,0.4,1.7,0.6,0.0,0.9,0,0.2873563218390805,4.6
44,8.3,2.4,40.4,0.0,0.0,0.4,81.0,0.1,0.5,2.0,0.4,0.0,0.9,0,0.2891566265060241,4.5
49,8.3,4.5,46.6,0.0,0.0,0.8,70.2,0.6,0.7,0.5,0.3,0.3,0.6,1,0.5421686746987951,6.3
44,7.6,1.1,38.5,0.0,0.0,0.2,44.4,0.5,1.3,0.4,0.2,0.3,0.5,0,0.14473684210526316,3.4
41,6.6,1.9,36.7,0.0,0.0,0.5,66.7,0.6,1.1,0.5,0.1,0.3,0.6,0,0.2878787878787879,3.899999999999999
36,6.3,1.3,37.5,0.1,28.6,0.2,61.5,0.1,0.3,0.6,0.2,0.0,0.5,1,0.20634920634920637,2.0000000000000004
45,19.9,6.2,37.7,0.5,37.3,0.7,74.4,0.4,1.4,2.7,0.5,0.2,0.9,0,0.31155778894472363,10.499999999999998
50,6.2,1.7,31.0,0.0,0.0,0.6,60.4,0.3,0.7,0.3,0.3,0.1,0.4,0,0.27419354838709675,3.0
82,37.4,22.9,45.5,0.2,21.3,4.7,68.4,2.1,2.7,4.8,2.5,1.0,4.2,1,0.6122994652406417,31.8
82,36.0,18.8,46.8,0.6,35.5,2.7,74.7,2.0,6.2,3.6,1.1,0.2,2.6,1,0.5222222222222223,29.400000000000006
80,33.9,14.6,48.5,0.0,0.0,3.7,74.5,2.8,5.1,1.9,0.7,2.1,1.7,1,0.4306784660766962,25.5
80,33.7,15.7,53.8,0.0,0.0,3.5,69.6,1.9,6.2,3.8,0.6,0.8,3.1,1,0.46587537091988124,25.9
71,27.8,5.3,47.5,0.0,0.0,1.2,61.7,1.4,3.2,8.2,1.8,0.6,2.2,1,0.19064748201438847,18.400000000000002
68,25.3,10.4,49.1,0.0,0.0,2.1,75.7,1.7,3.2,1.1,0.7,0.7,1.1,1,0.41106719367588934,16.799999999999997
63,25.2,15.9,53.1,0.0,0.0,3.0,64.9,2.2,2.7,1.7,0.6,0.6,2.4,0,0.6309523809523809,21.300000000000004
78,22.7,9.2,45.4,0.1,22.2,1.8,64.6,1.7,3.0,2.4,1.6,0.4,1.6,1,0.4052863436123348,16.699999999999996
80,19.8,5.9,39.6,0.7,31.9,0.6,77.0,0.5,1.5,0.7,0.9,0.1,0.3,0,0.297979797979798,9.299999999999999
80,21.9,8.5,45.5,0.0,20.0,1.6,72.8,1.9,2.7,1.3,0.6,0.8,1.1,1,0.3881278538812786,14.8
77,20.9,8.8,43.0,0.2,25.0,1.9,74.1,0.9,1.1,2.0,1.2,0.3,1.7,1,0.42105263157894746,12.600000000000001
81,20.8,10.3,43.7,0.2,29.8,1.9,80.1,0.7,1.4,3.6,0.8,0.0,1.5,1,0.4951923076923077,15.3
50,19.6,6.7,39.7,0.0,0.0,1.0,58.1,1.6,3.3,1.1,0.4,0.7,1.7,1,0.34183673469387754,12.100000000000001
80,19.5,5.3,45.4,0.2,27.9,1.2,77.7,0.5,1.8,4.5,0.9,0.1,1.9,1,0.2717948717948718,11.2
75,18.7,7.5,46.7,0.0,33.3,1.3,67.6,2.4,4.7,0.7,0.8,1.1,1.4,1,0.40106951871657753,15.799999999999999
67,18.2,6.9,40.8,0.3,32.9,1.4,83.3,0.5,1.3,3.0,0.6,0.1,1.6,1,0.37912087912087916,10.7
82,17.8,5.3,56.2,0.0,0.0,1.3,61.4,1.3,2.3,0.7,0.5,1.5,0.9,1,0.29775280898876405,10.7
64,17.3,7.9,49.0,0.0,22.2,1.0,66.3,1.1,2.2,1.2,0.3,0.4,0.9,1,0.45664739884393063,12.2
68,15.1,6.6,58.1,0.0,0.0,1.3,72.7,1.5,2.8,0.5,0.5,0.5,1.4,1,0.4370860927152318,10.9
77,15.0,6.5,54.5,0.0,0.0,1.0,58.7,2.1,2.2,0.7,0.5,0.6,1.2,1,0.43333333333333335,11.4
68,14.8,6.6,45.6,0.0,8.3,1.6,74.3,1.1,2.4,1.3,0.3,0.2,1.0,1,0.4459459459459459,10.9
77,14.3,5.2,47.6,0.0,0.0,1.4,63.2,1.1,2.4,0.5,0.3,0.4,1.1,1,0.36363636363636365,8.8
66,14.2,4.4,47.1,0.0,0.0,1.4,69.3,1.1,1.9,0.8,0.6,0.2,0.7,1,0.3098591549295775,8.200000000000001
67,13.6,4.6,42.3,0.1,25.0,0.5,72.9,1.0,1.6,1.8,0.6,0.3,0.9,0,0.338235294117647,9.0
65,13.5,5.4,47.6,0.0,0.0,1.4,68.7,1.2,2.3,0.4,0.3,0.3,1.2,1,0.4,8.600000000000003
65,13.2,5.0,41.3,0.1,35.0,0.8,76.9,0.6,1.0,1.1,0.7,0.3,0.8,0,0.3787878787878788,7.8999999999999995
62,13.2,4.2,52.7,0.0,0.0,0.7,63.9,1.1,2.3,0.4,0.3,0.1,0.9,1,0.31818181818181823,7.6
64,13.1,5.5,45.0,0.1,23.5,1.2,70.1,0.7,1.0,1.3,0.4,0.1,0.9,0,0.41984732824427484,8.1
59,12.9,5.6,54.4,0.0,0.0,0.8,64.9,1.2,1.7,1.0,0.3,0.5,1.0,1,0.4341085271317829,9.3
70,18.2,7.4,65.9,0.0,0.0,1.7,62.6,1.4,3.0,0.9,0.7,0.8,1.1,0,0.40659340659340665,13.100000000000001
62,11.5,5.8,44.1,0.3,32.0,0.8,79.7,0.7,1.0,0.7,0.4,0.1,0.9,1,0.5043478260869565,7.799999999999999
35,11.0,3.8,39.3,0.0,0.0,0.5,35.3,1.0,1.9,0.5,0.2,0.2,1.1,0,0.34545454545454546,6.5
42,11.0,3.3,38.0,0.1,33.3,0.5,75.0,0.3,0.5,1.0,0.6,0.1,0.7,0,0.3,5.099999999999999
59,10.7,5.0,41.1,0.0,4.5,1.1,86.8,0.6,0.6,0.5,0.3,0.1,0.8,1,0.4672897196261683,6.3
45,10.4,4.2,48.6,0.0,0.0,0.2,60.0,0.7,1.0,0.6,0.2,0.2,0.4,0,0.40384615384615385,6.5
67,9.5,4.9,42.6,0.3,28.3,0.4,78.9,0.4,0.7,0.9,0.4,0.1,0.7,1,0.5157894736842106,6.800000000000001
60,8.7,3.8,46.8,0.0,0.0,0.7,69.0,0.6,0.8,0.7,0.3,0.3,0.6,1,0.4367816091954023,6.0
41,8.3,3.1,42.7,0.0,0.0,0.7,75.0,0.6,0.7,1.1,0.3,0.0,0.6,0,0.37349397590361444,5.3
62,8.0,3.7,43.6,0.0,0.0,0.9,74.6,0.6,1.3,0.4,0.1,0.1,0.6,1,0.4625,5.6
43,6.7,3.4,37.8,0.1,20.0,1.0,63.6,0.3,0.7,0.8,0.3,0.1,0.8,0,0.5074626865671642,4.8
53,10.1,2.1,45.5,0.0,0.0,0.6,60.8,0.7,1.5,0.3,0.1,0.6,0.6,0,0.20792079207920794,4.7
54,6.0,2.3,33.8,0.2,31.0,0.3,63.0,0.1,0.5,0.6,0.2,0.0,0.5,0,0.3833333333333333,3.2
50,35.4,20.0,47.4,0.0,0.0,4.5,73.9,2.5,6.5,2.0,1.1,2.1,3.4,0,0.5649717514124294,30.800000000000004
82,33.0,17.1,49.0,0.0,20.0,3.0,68.7,3.7,4.2,2.4,1.2,0.5,3.0,1,0.5181818181818182,26.2
81,30.6,14.9,49.6,0.0,0.0,2.4,48.1,2.1,6.7,2.9,1.3,0.5,3.4,1,0.4869281045751634,25.1
81,28.1,14.7,51.5,0.0,0.0,2.0,68.4,2.4,4.9,1.0,0.4,0.5,2.3,1,0.5231316725978647,21.499999999999996
79,26.4,11.1,49.0,0.0,33.3,2.9,74.6,2.0,5.6,1.0,0.8,2.6,1.8,1,0.42045454545454547,21.3
55,25.3,14.0,46.3,0.1,18.5,3.4,89.6,0.8,1.3,1.9,1.3,0.4,1.4,1,0.5533596837944664,18.3
81,25.0,12.5,46.8,0.1,28.0,1.6,55.7,1.1,1.4,2.0,0.8,0.1,1.9,1,0.5,16.100000000000005
82,23.9,9.4,48.1,0.1,31.3,2.3,79.8,0.7,0.7,4.8,0.8,0.1,1.9,1,0.39330543933054396,14.700000000000001
82,17.3,6.0,42.6,0.0,0.0,1.8,73.0,1.4,2.9,1.1,0.5,0.5,1.1,0,0.3468208092485549,11.3
77,23.0,9.6,51.9,0.0,0.0,2.3,66.2,3.3,5.3,1.7,0.9,0.4,2.3,1,0.41739130434782606,18.899999999999995
82,20.7,8.3,50.7,0.0,0.0,1.9,60.7,2.1,3.6,0.7,0.5,0.8,1.4,1,0.4009661835748793,14.6
58,20.6,7.4,46.6,0.0,22.2,1.3,78.1,2.0,4.1,1.2,0.5,0.6,1.3,0,0.3592233009708738,14.499999999999998
80,20.0,8.5,55.8,0.0,0.0,2.1,67.3,1.2,2.7,1.1,0.9,0.5,1.9,1,0.425,13.0
82,18.8,6.4,53.9,0.0,16.7,1.2,61.1,2.0,2.7,0.7,0.6,0.6,1.2,1,0.3404255319148936,11.7
71,18.6,4.7,45.6,0.0,0.0,1.2,53.1,1.6,2.5,0.6,0.4,0.1,1.2,1,0.25268817204301075,8.700000000000001
64,17.1,7.7,46.9,0.0,0.0,1.4,64.7,1.7,2.6,0.3,0.5,0.1,1.1,1,0.4502923976608187,11.8
79,15.6,7.8,48.3,0.0,18.2,2.7,78.5,0.3,1.2,4.3,1.0,0.1,2.0,1,0.5,12.799999999999999
79,15.4,7.1,47.4,0.2,31.0,1.6,80.6,0.4,1.0,2.5,1.0,0.0,1.3,1,0.461038961038961,10.799999999999999
34,17.1,7.0,42.7,0.6,31.0,1.0,59.6,1.1,2.2,0.5,0.5,0.5,1.2,0,0.4093567251461988,10.600000000000001
71,16.5,4.9,45.7,0.3,31.1,0.6,61.1,0.3,1.6,2.9,0.9,0.1,1.4,0,0.296969696969697,9.3
78,15.0,4.7,47.2,0.0,9.1,1.0,61.9,1.2,1.9,1.1,1.0,0.8,1.2,0,0.31333333333333335,9.500000000000002
76,14.9,5.5,48.1,0.1,27.0,1.0,78.5,0.6,1.2,3.5,0.9,0.0,1.4,0,0.36912751677852346,10.2
80,14.8,5.2,46.5,0.0,0.0,1.2,72.3,1.4,3.3,0.6,0.3,0.4,1.3,1,0.35135135135135137,9.9
68,12.7,5.2,40.9,0.0,17.6,0.7,58.3,0.7,0.9,0.9,0.4,0.1,0.9,0,0.40944881889763785,7.4
64,12.7,4.1,52.8,0.0,0.0,0.6,43.5,1.4,2.4,0.3,0.2,0.3,0.9,0,0.3228346456692913,7.799999999999999
64,12.7,4.1,52.8,0.0,0.0,0.6,43.5,1.4,2.4,0.3,0.2,0.3,0.9,0,0.3228346456692913,7.799999999999999
53,10.8,2.8,60.4,0.0,0.0,0.3,42.5,0.9,1.9,0.3,0.4,0.4,0.4,0,0.25925925925925924,6.3
66,10.5,5.0,48.0,0.0,0.0,0.7,85.2,0.6,0.9,0.8,0.3,0.1,0.9,0,0.47619047619047616,6.799999999999999
77,16.0,4.5,38.4,0.7,32.0,0.4,75.6,0.2,1.4,0.9,0.4,0.2,0.6,0,0.28125,7.000000000000001
45,10.4,3.7,40.8,0.1,20.0,0.3,60.0,0.1,0.9,1.8,0.4,0.1,1.1,0,0.3557692307692308,5.9
45,10.2,3.5,38.3,0.0,11.1,0.4,51.4,0.3,0.4,1.5,0.8,0.1,0.9,0,0.3431372549019608,5.699999999999999
64,10.0,4.3,45.5,0.0,0.0,1.2,72.8,0.2,0.8,1.2,0.4,0.1,0.7,1,0.43,6.3
55,9.2,3.7,44.4,0.0,50.0,1.1,55.8,0.7,0.8,1.6,0.8,0.3,0.9,1,0.4021739130434783,7.0
57,8.5,4.5,44.2,0.0,20.0,0.9,92.6,0.4,0.6,0.9,0.4,0.1,0.6,1,0.5294117647058824,6.300000000000001
36,7.6,3.4,55.7,0.0,0.0,0.7,66.7,0.4,0.7,0.2,0.1,0.2,0.5,0,0.4473684210526316,4.5
57,7.6,3.2,36.4,0.0,25.0,1.1,92.9,0.2,0.6,1.2,0.3,0.1,0.9,1,0.4210526315789474,4.699999999999999
48,6.9,3.2,40.7,0.0,0.0,0.6,79.5,0.8,1.3,0.3,0.1,0.2,0.8,1,0.463768115942029,5.0
75,15.1,2.8,30.8,0.4,26.4,0.4,64.4,0.3,1.1,3.2,0.9,0.1,1.2,0,0.18543046357615894,7.199999999999998
82,38.3,28.2,51.5,0.1,17.3,7.7,84.5,2.0,4.5,5.9,2.4,0.8,3.5,1,0.7362924281984334,40.3
80,31.1,14.1,47.0,0.0,0.0,3.3,76.7,1.9,2.2,3.1,1.2,0.1,2.5,1,0.4533762057877813,20.000000000000004
76,29.2,10.0,53.7,0.0,0.0,2.1,71.1,2.7,5.9,2.8,0.7,2.7,2.3,1,0.3424657534246575,22.5
82,28.6,14.0,54.5,0.0,16.7,3.6,73.3,3.2,5.3,1.9,1.2,1.0,2.5,1,0.4895104895104895,24.2
82,28.3,11.0,47.1,0.1,25.0,2.4,82.0,2.3,5.1,1.6,0.8,0.8,1.2,1,0.38869257950530034,20.400000000000002
80,25.8,8.8,44.6,0.1,20.0,1.8,82.9,0.4,1.7,4.4,1.3,0.1,2.1,1,0.34108527131782945,14.600000000000003
79,24.7,10.6,51.1,0.0,0.0,1.4,78.4,2.0,3.8,0.5,0.5,1.1,1.5,1,0.4291497975708502,16.900000000000002
82,23.4,12.8,60.0,0.0,0.0,2.8,62.0,2.3,4.5,1.4,0.4,0.5,2.3,1,0.5470085470085471,19.599999999999998
82,21.8,9.3,46.7,0.0,22.2,1.5,65.7,2.2,4.2,0.4,0.4,0.6,1.3,1,0.42660550458715596,15.8
75,21.5,7.1,54.3,0.0,0.0,1.3,73.7,1.7,3.5,0.7,0.6,0.4,1.1,1,0.3302325581395349,12.9
79,21.3,9.2,49.8,0.1,36.4,1.6,73.4,1.5,1.9,3.5,1.6,0.3,2.1,1,0.43192488262910794,15.900000000000004
78,20.3,9.3,55.7,0.0,0.0,2.4,71.5,1.9,3.2,1.0,0.2,0.4,1.5,1,0.458128078817734,14.5
78,20.1,8.4,52.0,0.0,0.0,2.3,64.8,1.8,3.3,1.6,0.6,0.8,1.8,1,0.417910447761194,14.7
78,20.1,8.4,52.0,0.0,0.0,2.3,64.8,1.8,3.3,1.6,0.6,0.8,1.8,0,0.417910447761194,14.7
78,20.1,8.4,52.0,0.0,0.0,2.3,64.8,1.8,3.3,1.6,0.6,0.8,1.8,0,0.417910447761194,14.7
29,16.4,3.7,31.7,0.7,31.1,0.4,50.0,0.3,1.1,1.4,0.6,0.2,1.0,1,0.225609756097561,6.3
29,16.4,3.7,31.7,0.7,31.1,0.4,50.0,0.3,1.1,1.4,0.6,0.2,1.0,0,0.225609756097561,6.3
29,16.4,3.7,31.7,0.7,31.1,0.4,50.0,0.3,1.1,1.4,0.6,0.2,1.0,0,0.225609756097561,6.3
72,19.8,5.8,45.4,0.0,0.0,1.1,85.9,1.2,1.8,1.5,0.4,0.1,1.3,1,0.29292929292929293,9.5
82,19.3,6.6,46.0,0.0,0.0,1.4,67.8,1.8,1.7,1.9,0.7,0.1,1.4,1,0.34196891191709844,11.399999999999999
62,19.3,8.0,52.8,0.0,33.3,1.6,78.9,1.3,2.5,1.3,0.5,1.3,1.7,1,0.41450777202072536,13.100000000000001
78,18.7,7.1,45.3,0.3,35.1,1.3,75.4,0.5,1.4,3.1,1.0,0.1,1.4,1,0.37967914438502676,11.799999999999999
75,18.7,6.8,47.0,0.0,0.0,1.2,47.4,1.4,3.0,0.5,0.5,0.5,1.9,1,0.36363636363636365,10.799999999999999
82,18.2,5.6,47.1,0.0,18.2,1.7,73.6,0.3,1.0,5.1,1.3,0.1,1.8,1,0.3076923076923077,11.6
74,17.3,7.1,45.9,0.1,16.0,1.4,81.0,0.5,1.0,1.7,0.6,0.2,1.1,0,0.4104046242774566,9.999999999999998
74,17.0,4.4,46.0,0.0,18.8,0.7,71.1,0.5,1.3,2.9,1.0,0.2,1.3,0,0.25882352941176473,8.999999999999998
54,17.0,5.5,49.8,0.0,0.0,1.2,54.1,1.6,3.3,0.3,0.4,0.3,1.2,1,0.3235294117647059,10.200000000000003
74,15.1,5.1,47.8,0.0,0.0,0.7,73.3,1.2,2.5,0.5,0.2,0.2,1.0,0,0.33774834437086093,8.599999999999998
36,14.4,5.8,43.1,0.0,50.0,1.1,82.0,1.1,1.4,0.9,0.3,0.2,0.9,1,0.40277777777777773,8.7
78,14.3,4.9,49.2,0.0,0.0,1.1,66.9,1.0,2.4,1.3,0.4,0.2,1.3,1,0.34265734265734266,8.799999999999999
67,13.3,3.7,58.9,0.0,0.0,0.5,39.8,1.0,2.6,0.8,0.5,0.8,0.9,0,0.2781954887218045,8.500000000000002
59,12.8,5.1,41.6,0.0,0.0,1.2,70.6,0.8,1.3,1.4,0.3,0.2,1.3,0,0.39843749999999994,7.8
77,12.4,6.1,47.8,0.0,0.0,1.5,64.6,1.2,1.4,0.8,0.6,0.4,0.9,1,0.4919354838709677,9.700000000000001
53,12.3,1.5,32.6,0.0,0.0,0.4,56.4,1.0,2.1,0.4,0.2,0.8,0.8,0,0.12195121951219512,5.2
60,11.9,3.2,48.6,0.0,0.0,0.8,75.8,0.7,1.7,0.5,0.2,0.5,1.2,1,0.2689075630252101,5.7
56,11.2,5.6,49.6,0.0,0.0,1.0,80.0,0.7,0.9,0.4,0.5,0.1,1.2,1,0.5,6.999999999999999
63,10.8,4.1,38.3,0.0,22.2,0.6,75.5,0.4,0.6,1.4,0.5,0.1,1.1,0,0.3796296296296296,6.0
66,10.6,3.8,39.7,0.0,25.0,1.0,70.7,0.8,1.2,0.4,0.2,0.2,0.8,0,0.3584905660377358,5.800000000000001
51,10.5,3.8,44.0,0.0,0.0,0.5,75.0,0.8,0.8,0.7,0.2,0.2,0.6,0,0.3619047619047619,5.900000000000001
60,9.2,3.4,36.7,0.0,0.0,0.5,50.9,0.7,0.9,0.4,0.4,0.1,0.7,0,0.3695652173913044,5.2
